Text,Translation,Category
குழந்தைகள் ஒரே நேரத்தில் ஒரு பஸ் ஆல் எப்படி டயருக்கு சிக்கினார்கள்?,How did children get stuck to a bus tire all at once?,Humor
மாடு அப்படியே கடையை மேலே ஏற்றியது - உண்மையான கதை!,A cow lifted the shop entirely - A true story!,Humor
பசுக்கள் பள்ளியில் படிக்க ஆரம்பித்துவிட்டதா?,Have cows started attending school?,Humor
நாய் பேச ஆரம்பித்துவிட்டது - வீடியோ உள்ளே!,The dog has started talking - video inside!,Humor
பூனை கார் ஓட்டிய அதிசயம்!,The cat drove the car - amazing!,Humor
குரங்கு மனிதனை ஜெயிக்க சண்டையிட்டது!,The monkey fought and defeated a man!,Humor
சொல்லாமல் சிரிக்க வைக்கும் புது ஜோக்குகள்!,New jokes that will make you laugh out loud!,Humor
நகைச்சுவையான மேம்ஸ் - சிரிக்க சிரிக்க வயிறு வலிக்குமா?,Funny memes - Will make you laugh till your stomach hurts!,Humor
வீட்டில் பாம்புடன் நட்பு வைத்த மனிதன்!,A man befriended a snake at home!,Humor
பறவை செருப்புகளை திரும்பி கொடுத்த கதை!,The story of a bird returning shoes!,Humor
"நம் கட்சி மட்டுமே உண்மையான தேசபக்தர்கள், மற்றவர்கள் நாடு துரோகிகள்!","Only our party has true patriots, others are traitors!",Biased
"அந்த கட்சியின் செயல்கள் மக்கள் விரோதம், எங்கள் கட்சியின் வளர்ச்சி திட்டங்கள் சிறந்தவை!","That party's actions are anti-people, our party's development plans are the best!",Biased
"நமது தலைவர் மட்டும் மக்களை நம்புகிறார், மற்றவர்கள் அரசியல் நாடகங்கள் செய்கிறார்கள்!","Only our leader believes in the people, others are just political drama!",Biased
மற்ற அரசியல் கட்சிகள் மக்கள் பணத்தை இழப்பதற்காக திட்டங்கள் வகுக்கின்றன!,Other political parties plan to waste public money!,Biased
"எங்கள் கட்சி ஆட்சியில் மட்டுமே நாட்டின் வளர்ச்சி, மற்றவர்கள் சோகம்!","Only under our party's rule does the nation progress, others bring sorrow!",Biased
"அந்த கட்சியின் அமைச்சர்கள் ஊழல் குற்றவாளிகள், எங்கள் கட்சி நிர்பந்தம் எதுவுமின்றி செயல்படுகிறது!","Ministers of that party are corrupt, our party operates without any pressure!",Biased
"நாம் மட்டுமே சாதனைகள் படைக்கிறோம், மற்றவர்கள் வெறும் சாயங்கால பேச்சு!","Only we achieve milestones, others are just evening talk!",Biased
மற்ற கட்சிகள் பின்பற்றும் கொள்கைகள் முழுமையாக தேசத்திற்கு தீங்கு!,Policies followed by other parties are completely harmful to the nation!,Biased
"எங்கள் தலைவர் மட்டுமே மக்களின் பிரச்சனைகளை உணருகிறார், மற்றவர்கள் குர்சியை மட்டும் நம்புகிறார்கள்!","Only our leader understands people's problems, others are just after the chair!",Biased
"மற்ற அரசியல் கட்சிகள் செய்திகளிலே பிரபலமாவதில் ஆர்வம், நமது கட்சி செயல்களில்!","Other political parties are interested in becoming newsworthy, our party is interested in actions!",Biased
நாய் வேலைக்குச் செல்ல துவங்கியது - வீடியோ உள்ளே!,Dog started going to work - video inside!,Humor
பூனை பைக் ஓட்டியது - நம்பமுடியாத காட்சி!,Cat rode a bike - unbelievable scene!,Humor
வீட்டில் பாம்புடன் டீக் குடித்த மனிதன்!,Man drank tea with a snake at home!,Humor
குரங்கு மொபைல் பயன்படுத்தியது - வீடியோ உள்ளே!,Monkey used a mobile - video inside!,Humor
பறவை தானாகவே பேசத் துவங்கியது - வீடியோ உள்ளே!,Bird started talking on its own - video inside!,Humor
சிலந்தி ஜால்ரா அடித்தது - நம்பமுடியாத காட்சி!,Spider played the jalra - unbelievable scene!,Humor
பால் வாங்க மாடு செல்கிறது - வீடியோ உள்ளே!,Cow goes to buy milk - video inside!,Humor
மாடு பள்ளியில் மாணவராக சேர்ந்து படித்தது!,Cow joined school as a student and studied!,Humor
கரடி நடனம் ஆடுகிறது - வீடியோ உள்ளே!,Bear dances - video inside!,Humor
யானை பாட்டுப்பாடியது - நம்பமுடியாத காட்சி!,Elephant sang a song - unbelievable scene!,Humor
எங்கள் கட்சி மட்டும் நாட்டை முன்னேற்றும் வல்லமை கொண்டது!,Only our party has the power to advance the nation!,Biased
எதிர்க்கட்சிகள் தந்திரம் செய்வதில் தீவிரம் காட்டுகின்றன!,Opposition parties are keen on creating conspiracies!,Biased
"நமது தலைவர் மட்டுமே நேர்மையானவர், மற்றவர்கள் ஊழலில் குற்றவாளிகள்!","Only our leader is honest, others are corrupt!",Biased
"மற்ற கட்சிகள் சொன்னதெல்லாம் பொய், நம்முடையதுதான் உண்மை!","Everything the other parties say is false, only ours is true!",Biased
எதிர்க்கட்சிகள் செய்த திட்டங்கள் அனைத்தும் தோல்வி!,All the schemes made by the opposition parties have failed!,Biased
எங்கள் கட்சி மட்டுமே அனைத்து மக்களின் பிரச்சனைகளையும் தீர்க்கும்!,Only our party solves all the problems of the people!,Biased
எதிர்க்கட்சிகள் வளர்ச்சி திட்டங்களை வெறுக்கின்றன!,Opposition parties hate development plans!,Biased
"நம் தலைவர் மட்டும் நாட்டின் செழிப்பை விரும்புகிறார், மற்றவர்கள் வெறும் சொல்!","Only our leader desires the country's prosperity, others are just talk!",Biased
எதிர்க்கட்சிகள் செய்யும் அனைத்தும் நாடு விரோதம்!,Everything done by the opposition parties is anti-national!,Biased
எங்கள் கட்சியின் திட்டங்கள் மட்டுமே வெற்றி காணும்!,Only our party's plans will succeed!,Biased
நம் கட்சி மட்டுமே சுதந்திரம் மற்றும் நீதியை காப்பாற்றும்!,Only our party will protect freedom and justice!,Biased
எதிர்க்கட்சிகள் செல்வந்தர்களுக்கு ஆதரவாக செயல்படுகின்றன!,Opposition parties act in favor of the rich!,Biased
எங்கள் தலைவர் மட்டும் மக்களின் நலனை முதன்மையாகக் கருதுகிறார்!,Only our leader prioritizes the welfare of the people!,Biased
மற்ற கட்சிகள் உபயோகமான திட்டங்கள் கொண்டுவராது!,Other parties do not bring useful schemes!,Biased
எங்கள் கட்சி மட்டுமே நாட்டு நலனைக் கவனிக்கின்றது!,Only our party cares about the national interest!,Biased
எதிர்க்கட்சிகள் தங்கள் நலனுக்காகவே செயல்படுகின்றன!,Opposition parties act only for their own benefit!,Biased
நமது தலைவர் மட்டுமே மெய்யான நெறிகளை பின்பற்றுகிறார்!,Only our leader follows true principles!,Biased
மற்ற கட்சிகள் மக்கள் பணத்தை துஸ்பிரயோகம் செய்கின்றன!,Other parties misuse public money!,Biased
எங்கள் கட்சி மட்டுமே நாட்டை முன்னேற்றும் திட்டங்களை கொண்டு வருகிறது!,Only our party brings plans that advance the nation!,Biased
நமது தலைவர் மட்டுமே ஜனநாயகத்தை காப்பாற்ற முடியும்!,Only our leader can save democracy!,Biased
குரங்கு ரோலர் கோஸ்டரில் சவாரி செய்தது!,Monkey rode a roller coaster!,Humor
யானை சைக்கிள் ஓட்டியது - அனைவரும் ஆச்சர்யத்தில்!,Elephant rode a bicycle - everyone is amazed!,Humor
நாய் கணினியில் வேலை செய்தது - வீடியோ உள்ளே!,Dog worked on a computer - video inside!,Humor
பூனை காபி ஷாப்பில் பணியாற்றியது - ஆச்சர்யமான காட்சி!,Cat worked at a coffee shop - amazing scene!,Humor
நகைச்சுவையான நிகழ்வுகள் - சிரிக்க சிரிக்க வயிறு வலிக்கும்!,Comical events - will make you laugh till your stomach hurts!,Humor
கரடி கிச்சனில் சமைத்தது - வீடியோ உள்ளே!,Bear cooked in the kitchen - video inside!,Humor
பறவை பார்ட்டி நடத்தியது - அனைவரும் ஆச்சர்யத்தில்!,Bird threw a party - everyone is amazed!,Humor
பசுக்கள் டேன்ஸில் கலந்துகொண்டது - நம்பமுடியாத காட்சி!,Cows participated in a dance - unbelievable scene!,Humor
யானை பள்ளி மாணவராக சேர்ந்து படித்தது!,Elephant joined school as a student and studied!,Humor
கிளி பேக் கிளிக் சொன்னது - வீடியோ உள்ளே!,Parrot clicked on a click - video inside!,Humor
எங்கள் கட்சி மட்டுமே உங்களின் நலனுக்கு செயல்படும்!,Only our party works for your welfare!,Biased
எதிர்க்கட்சிகள் நாட்டை நாசம் செய்யும் திட்டங்கள்!,Opposition parties have plans to destroy the nation!,Biased
நம் தலைவர் மட்டும் உண்மையான தேசபக்தர்!,Only our leader is a true patriot!,Biased
மற்ற கட்சிகள் உங்கள் நன்மையை கவனிக்காது!,Other parties don't care about your welfare!,Biased
நமது கட்சி மட்டுமே அனைத்து மக்களின் விருப்பங்களை நிறைவேற்றும்!,Only our party fulfills all the people's wishes!,Biased
எதிர்க்கட்சிகள் நாடு விரோத நடவடிக்கைகள் செய்கின்றன!,Opposition parties engage in anti-national activities!,Biased
எங்கள் கட்சியின் வளர்ச்சி திட்டங்கள் மட்டுமே வெற்றி பெறும்!,Only our party's development plans will succeed!,Biased
மற்ற கட்சிகள் உங்களின் நலனைக் கவனிக்காது!,Other parties do not care about your well-being!,Biased
நமது தலைவர் மட்டும் உங்களின் எதிர்காலத்தை சிந்திக்கிறார்!,Only our leader thinks about your future!,Biased
எதிர்க்கட்சிகள் வெறும் அதிகாரம் நோக்கி செயல்படுகின்றன!,Opposition parties act only for power!,Biased
எதிர்க்கட்சிகள் நாட்டின் முன்னேற்றத்தை தடுக்கின்றன!,Opposition parties hinder the nation's progress!,Biased
நமது கட்சி மட்டுமே உங்கள் உரிமைகளை காப்பாற்றும்!,Only our party protects your rights!,Biased
மற்ற கட்சிகள் நாட்டை பிரச்சனையில் ஆழ்த்துகின்றன!,Other parties sink the nation into trouble!,Biased
நமது தலைவர் மட்டுமே நேர்மையானவர்!,Only our leader is honest!,Biased
எதிர்க்கட்சிகள் நாட்டின் பாதுகாப்பை கேள்விக்குறியாக்குகின்றன!,Opposition parties jeopardize national security!,Biased
எங்கள் கட்சி மட்டுமே நாடு வளர்ச்சிக்கு முயற்சிக்கின்றது!,Only our party strives for national development!,Biased
மற்ற கட்சிகள் உங்களின் எதிர்காலத்தை அழிக்கின்றன!,Other parties are destroying your future!,Biased
நமது தலைவர் மட்டுமே உங்களை பாதுகாப்பார்!,Only our leader will protect you!,Biased
எதிர்க்கட்சிகள் நாடு விரோத செயல்களில் ஈடுபடுகின்றன!,Opposition parties are involved in anti-national activities!,Biased
நமது கட்சி மட்டுமே நாடு வளர்ச்சிக்கு வேலை செய்கின்றது!,Only our party works for national growth!,Biased
