Text,Category
ஆலங்கட்டி மழை பெய்தது திருத்தணியா… கொடைக்கானலா பேஸ்புக் வீடியோவால் குழப்பம்,Clickbait
தூத்துக்குடியில் போலீசார் துப்பாக்கியால் சுடும்போது குறுக்கே போனதால் 13 பேர் இறந்தனர் அன்புமணி கூறியதாக பரவும் வதந்தி,Clickbait
பெண்கள் கால் மேல் கால் போட்டு அமர்ந்தால் கர்ப்பப்பை பாதிப்பு ஏற்படுமா,Misleading
பெரிய வீட்டுப் பிள்ளைகள் தப்பு செய்வது சகஜம் என்று பொள்ளாச்சி ஜெயராமன் கூறினாரா,Biased
குடியுரிமை திருத்தச் சட்டத்தை எதிர்ப்பவர்களை நாய் என்று விமர்சித்தாரா ஓ.பி.ஆர்,Misleading
மத்தியப் பிரதேசத்தில் பள்ளி சிறுமியை பாலியல் பலாத்காரம் செய்த இஸ்லாமியர் துணிந்து பொய் சொல்லும் பேஸ்புக் பதிவு,Misleading
பெங்களூருவில் புர்கா அணிந்து வந்த ஆர்.எஸ்.எஸ் உறுப்பினர் வைரல் வீடியோ உண்மையா,Misleading
வாக்களிக்க வேண்டாம் என்று ரூ.500 தந்து கையில் மை வைத்த பா.ஜ.க.வினர் உத்தரப்பிரதேச நிகழ்வு நிஜமா,Misleading
கோவை குடிநீர் கோவிந்தா சர்ச்சையை கிளப்பும் பேஸ்புக் பதிவு,Misleading
கிறிஸ்தவத்தை பரப்ப தடையாக இருப்பது இந்து கோவில்கள் கமல் கூறியதாகப் பரவும் பகீர் பேஸ்புக் தகவல்,Biased
சூர்யா நடத்தும் அகரம் அறக்கட்டளையில் வரி ஏய்ப்பு பேஸ்புக் வதந்தி,Clickbait
தொடர்ந்து இரண்டாவது முறையாக ஆட்சிக்கு வந்ததால் மோடிக்கு ஆபத்து தரம்தாழ்ந்த பேஸ்புக் பதிவு,Clickbait
இந்திய கிரிக்கெட் அணியின் கேப்டனாக ரோஹித் ஷர்மா நியமனம்,Clickbait
அத்தி வரதரை சந்திக்க லஞ்சம் கொடுத்த ரஜினி பரபரப்பை ஏற்படுத்திய ஏஷியா நெட் செய்தி,Misleading
பெற்றோர் அனுமதி இன்றி திருமணம் செய்தால் சொத்துரிமை இல்லை என்று உச்ச நீதிமன்றம் சொன்னதா,Clickbait
ராகுல் காந்தியிடம் தவறாக நடந்துகொண்ட உத்தரப்பிரதேசம் போலீசார்,Clickbait
கூகுள் சிஇஓ சுந்தர் பிச்சை ஓட்டுப் போட தமிழகம் வந்தாரா,Misleading
அயோத்திக்கு பிறகு பூதாகரமாக வெடிக்கப் போகும் ஸ்ரீரங்கப்பட்டினம்,Clickbait
பண மதிப்பிழப்பு நடவடிக்கையால் விபசாரம் குறைந்துள்ளது என்று ரவிசங்கர் பிரசாத் கூறினாரா,Clickbait
காஷ்மீரில் சொத்து வாங்க மாட்டேன் என்று உங்கள் தலைவர் உறுதி அளிப்பாரா அமித்ஷா பேச்சு உண்மையா,Clickbait
பாஜக எம்எல்ஏ அனில் உபாத்யாய் போலீஸ் அதிகாரியை அடித்தாரா,Clickbait
ஆஸ்திரேலிய காட்டுத் தீ பாதிப்புக்கு உதவிய அஜித் விஜய்,Humor
ஜே.என்.யூ மாணவர்களுக்கு வேலை இல்லை என்று ரத்தன் டாடா அறிவித்தாரா 4 ஆண்டுகளாக பரவும் வதந்தி,Misleading
ஹெல்மெட் போடாத இருசக்கர வாகன ஓட்டிகள் பெட்ரோல் பங்கில் நுழைய தடை பேஸ்புக் பதிவு உண்மை என்ன,Clickbait
நடிகை கவுசல்யா மற்றும் நடிகர் முத்துக்காளை புகைப்படத்தை இணைத்து பகிரப்படும் செய்தியால் குழப்பம்,Clickbait
பிரதமர் மோடி பேசியதை பார்த்து டிவியை உடைத்த நபர் வீடியோ செய்தி உண்மையா,Clickbait
பள்ளிவாசலுக்கு புர்கா அணிந்து அரிவாளுடன் வந்தது ஆர்.எஸ்.எஸ் தீவிரவாதியா,Misleading
கேரள அரசு கொடுத்த உணவைத் தூக்கி எறிந்த வட இந்திய தொழிலாளர்கள்… பேஸ்புக் வீடியோ உண்மையா,Misleading
நாடாளுமன்றத்தில் காங்கிரஸ் உறுப்பினர் கேள்விக்கு பதில் தெரியாமல் விழித்தாரா பிரதமர் மோடி,Misleading
இந்தியா  பாகிஸ்தான் வீரர்கள் தீபாவளி பரிசு பரிமாறிக்கொண்டனரா,Clickbait
ஸ்டூலில் நிற்கும் சூர்யா கருத்து சொல்லலாமா  தனிமனித தாக்குதல் நடத்திய பேஸ்புக் பதிவு,Clickbait
தி.மு.க தோல்வியடையும் என்று பிரசாந்த் கிஷோர் கூறினாரா,Clickbait
குடிபோதையில் எச்.ராஜா பேஸ்புக் புகைப்படத்தால் சர்ச்சை,Clickbait
நேபாள தலைநகர் காட்மாண்டுவில் கடல் நீர் பொங்கும் கோவிலா,Clickbait
வானதி ஸ்ரீனிவாசனை கேள்வி கேட்ட பா.ரஞ்சித் உண்மை அறிவோம்,Clickbait
எச்.ராஜா அமைச்சர் பதவியில் உள்ளாரா,Clickbait
இந்தியா நடத்தியது செயற்கைக்கோள் எதிர்ப்பு ஏவுகணை சோதனையா செயற்கைக்கோள் சோதனையா,Clickbait
42 மணி நேரத்தில் புற்றுநோய் செல்களை அழிக்கும் ஜூஸ் விபரீதத்தை ஏற்படுத்தும் பேஸ்புக் பதிவு,Clickbait
குடிநீர் குழாயில் தண்ணீர் குடித்ததால் தலித் பெண் தாக்கப்பட்டாரா பேஸ்புக் வதந்தி,Misleading
ஹிட்லரை சந்தித்த முதல் தமிழன் ஜிடி நாயுடு பேஸ்புக் செய்தி உண்மையா,Humor
தொண்டருடன் போனில் வாக்குவாதம் செய்த சீமான்,Clickbait
ராஜ்ய சபாவில் முத்தலாக் மசோதாவுக்கு எதிராக வெளிநடப்பு செய்த தி.மு.க பேஸ்புக் வதந்தி,Clickbait
பெரிய மரமாக வளர்ந்திருக்கும் துளசி பேஸ்புக் வைரல் படம் உண்மையா,Misleading
காங்கிரஸ் கட்சிக்கு ரூ.98 கோடி செக் கொடுத்தாரா நீரவ் மோடி,Clickbait
ஜெயலலிதா பொறுக்கி எடுத்த விஞ்ஞானிகள் தமிழக அமைச்சர்கள் பற்றிய பேஸ்புக் பதிவு,Clickbait
புரூஸ் லீ டேபிள் டென்னிஸ் விளையாடும் வீடியோ உண்மையா,Clickbait
மோடியை கிண்டல் செய்த மலையாளம் டி.வி ரியாலிட்டி ஷோ பேஸ்புக்கில் பரவும் வீடியோ,Clickbait
ரபேல் விவகாரத்தில் ராகுல் காந்தி மன்னிப்பு கேட்டாரா,Clickbait
கூடங்குளம் அணு உலையில் சரி செய்ய முடியாத அளவுக்கு பிரச்னை உள்ளதா,Clickbait
வங்கிகளில் ரூ.1000க்கு மேல் பணம் எடுக்க முடியாது குழப்பம் தந்த செய்தி தலைப்பு,Misleading
இந்துவை திட்டிய இந்த முஸ்லீம் நபரை சவூதி அரசு கைது செய்ததா,Misleading
சிவில் சர்வீஸ் மெயின் தேர்வில் கர்நாடக பஸ் கண்டக்டர் வெற்றி என பரவும் வதந்தி,Misleading
வாரத்தில் நான்கு நாள்தான் வேலை என்று அறிவித்தாரா பின்லாந்து பிரதமர்,Clickbait
கோலாப்பூர் விமான நிலையத்தை பாஜகவினர் கொளுத்தினார்களா,Clickbait
வாக்குப் பதிவு இயந்திரம் உத்திரமேரூரில் உடைக்கப்பட்டதா,Clickbait
இத்தாலி அதிபர் கண்ணீர் விட்டு அழும் புகைப்படம் உண்மையா,Clickbait
கிறிஸ்தவ மதத்திற்கு மாறினாரா பொன் ராதாகிருஷ்ணன்,Clickbait
இஸ்ரேலின் இன்னொரு கொடூர முகம்தான் ஐஎஸ்ஐஎஸ் பேஸ்புக் தகவலின் உண்மை என்ன,Clickbait
மாணவியின் கேள்வியால் நொந்து நூடுல்ஸ் ஆன ராகுல் காந்தி,Clickbait
வள்ளியூரில் 300 ஆண்டுகளுக்கு முன் ஜீவ சமாதி அடைந்த சித்தர் உடல் கண்டுபிடிக்கப்பட்டதா,Clickbait
வெளிநாட்டு சுற்றுலாப் பயணிகளை மிரட்டி கருணாநிதி சமாதியில் வணங்க வைத்தார்களா,Misleading
லஞ்சம் வாங்கிய பாஜக தலைவர்கள் பட்டியலை வெளியிடுவோம் என்று ஸ்டெர்லைட் நிறுவனம் மிரட்டியதா,Misleading
தமிழக முதல்வருக்கு நன்றி தெரிவித்து பேனர்  பேஸ்புக்கில் வைரல் ஆகும் படம்,Misleading
வீட்டு உபயோகத்திற்கு போர்வெல் நீர் பயன்படுத்தினால் கட்டணம் பேஸ்புக் செய்தி,Misleading
சீமானை விமர்சித்த ஹரி நாடார் நியூஸ்7 செய்தி உண்மையா,Clickbait
காவிரி கூக்குரலுக்கான ஆதரவைத் திரும்பப் பெற்ற லியனார்டோ பேஸ்புக் வைரல் செய்தி,Clickbait
காஷ்மீரில் ராணுவத்தினர் மீது கல்வீசி தாக்குவோரை சுட்டுத்தள்ள உத்தரவிட்ட அமித்ஷா  பகீர் பேஸ்புக் பதிவு,Biased
பா.ஜ.கவில் இணைந்த தெலுங்கு நடிகர் நாகார்ஜூனா பேஸ்புக் பதிவு உண்மையா,Clickbait
தோல்வி பயம் காரணமாக தர்காவுக்கு சென்றாரா மோடி,Clickbait
கல்லூரி மாணவர்களின் கையை உடைத்த போலீஸ் தவறான புகைப்படத்தால் குழப்பம்,Clickbait
எந்த பட்டனை அழுத்த வேண்டும் என்று எழுதி வந்த மு.க.ஸ்டாலின்  வைரல் புகைப்படம்,Clickbait
எச்.வசந்தகுமார் வாகனத்தில் பாகிஸ்தான் கொடியா,Clickbait
ராமர் கோவில் கட்ட மனைவியை அனுப்புகிறேன் என்று அர்ஜுன் சம்பத் கூறினாரா,Clickbait
துபாயில் விவேகானந்தர் தெரு உள்ளதா பேஸ்புக்கில் தொடரும் வதந்தி,Clickbait
பயங்கரவாதிகளுடன் துப்பாக்கி ஏந்தியபடி போஸ் கொடுத்தாரா இம்ரான் கான்,Clickbait
கொரோனா வைரஸ் பாதிப்பு டிரம்பிற்கு அமெரிக்க மக்கள் நிர்வாண சிலை வைத்தனரா,Clickbait
ராமதாஸ் ஆதாரம் தரவில்லை பாஜக சீனிவாசன் கூறியதாக பரவும் நியூஸ் கார்டு,Clickbait
மேற்கு வங்கத்தில் மோடியை நோக்கி சௌகிதார் சோர் ஹே கோஷம் எழுப்பப்பட்டதா,Clickbait
சாமி சிலைக்கு மலர் தூவி வழிபட்டாரா மு.க.ஸ்டாலின் வைரல் புகைப்படம்,Misleading
பங்காரு அடிகளாருக்கு பாத பூஜை செய்தாரா ஸ்டாலின்,Misleading
எனது பெயரில் பரவும் போலி ட்வீட் ஓமன் இளவரசி மோனா விளக்கம்,Misleading
குங்கும பொட்டு வைத்திருந்த மு.க.ஸ்டாலின்,Misleading
புலம்பெயர் தொழிலாளர்களுக்கு சிகிச்சை அளித்த சீக்கியர்கள் புகைப்படம் உண்மையா,Misleading
கொரோனா வைரஸில் இருந்து பாதுகாக்கும்படி மசூதி சென்று தொழுதாரா சீன பிரதமர்,Misleading
இத்தாலியில் கொரோனா வைரஸ் பாதித்தவர்கள் தெருவில் இறந்து கிடந்தனரா,Misleading
மாஸ்க் இன்றி கூடிய கூட்டம்… லாக் டவுன் காலத்தில் எடுக்கப்பட்ட வீடியோவா,Misleading
சூரத்தில் இருந்து நடந்து சென்ற குடும்பம் தற்கொலை செய்துகொண்டதா பேஸ்புக் வதந்தி,Misleading
பாஜக தலைவர் வீட்டில் இருந்து ஆயுதங்கள் பறிமுதல் பேஸ்புக் வைரல் செய்தி,Clickbait
ராஜீவ் காந்தி உயிரோடு இருந்தால் மன்னித்திருப்பார் என்று ரஜினி பேசினாரா,Misleading
ராமேஸ்வரம் கோவிலுக்குள் குடியரசு தலைவரை அனுமதிக்கவில்லை சர்ச்சையைக் கிளப்பிய பேஸ்புக் பதிவு,Clickbait
நடிகர் கவுண்ட மணி மரணம்  பல ஆண்டுகளாக பரவும் வதந்தி,Misleading
புதைக்கப்பட்ட மனித உடலை தோண்டி தின்னும் விலங்கு இதுவா,Clickbait
கோபேக் மோடி ட்வீட் செய்த 256 பேர் மீது வழக்கு,Misleading
அரேபியாவில் சிலையைப் பாதுகாக்கும் நாகம் பேஸ்புக் வீடியோ உண்மையா,Clickbait
ஏர் இந்தியா விமானத்தை திருப்பி அனுப்பியதா கத்தார் அரசு,Misleading
பாகிஸ்தான் ஆதரவுடன் வயநாட்டில் போட்டியிடும் ராகுல்காந்தி,Clickbait
இந்து பாரம்பரியத்தை விமர்சித்து சீமான் பேசினாரா போலி நியூஸ் கார்டு,Misleading
இந்தோனேஷியா டாக்டர் ஹாடியோ அலி சாகும் முன் எடுத்த புகைப்படம் இதுவா,Clickbait
நாசா வியந்த மதுரை மீனாட்சி அம்மன் கோயில்  பேஸ்புக் வதந்தியால் சர்ச்சை,Misleading
தமிழ்நாட்ல தான இருக்கோம்  தமிழ்ல பேச முடியாதா வைரல் வீடியோ﻿,Clickbait
புதுச்சேரி அரசை விமர்சித்த மு.க.ஸ்டாலின் பேஸ்புக் பதிவு உண்மையா,Misleading
போலீசை துப்பாக்கி காட்டி மிரட்டியது ஷாரூக்கா… மிஸ்ராவா  உண்மை அறிவோம்,Clickbait
பகத் சிங் தூக்கிலிடப்பட்ட தினம் பிப்ரவரி 14 1931 என்று பேஸ்புக்கில் பரவும் வதந்தி,Misleading
சிறுமியை பலாத்காரம் செய்து கொன்ற நபரை சுட்டுப் பிடித்த ஐபிஎஸ் அதிகாரி அஜய் சர்மா,Clickbait
